"variable","Title","y_var_short","name_df","scenShort","scenYear","lever_position","lever","category","scenYr","scenPl","colorOfScenario","alphaOfScenario","yaxislow","yaxishigh","yaxismedian"
NA,NA,NA,"base","base","base",1,"base","base","base","base","#EAECCC",1,NA,NA,NA
NA,NA,NA,"rh_flsz_0p125","rh_flsz_0p125","rh",0.125,"flsz","rh","0p125","0p125","#ee7733",0.125,NA,NA,NA
NA,NA,NA,"rh_flsz_0p25","rh_flsz_0p25","rh",0.25,"flsz","rh","0p25","0p25","#ee7733",0.25,NA,NA,NA
NA,NA,NA,"rh_flsz_0p5","rh_flsz_0p5","rh",0.5,"flsz","rh","0p5","0p5","#ee7733",0.5,NA,NA,NA
NA,NA,NA,"rh_flsz_1p5","rh_flsz_1p5","rh",1.5,"flsz","rh","1p5","1p5","#ee7733",1.5,NA,NA,NA
NA,NA,NA,"rh_flsz_1p75","rh_flsz_1p75","rh",1.75,"flsz","rh","1p75","1p75","#ee7733",1.75,NA,NA,NA
"duration_door_to_door","Door-to-door Travel Time","doorDoor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4917,932
"Potential_INEXUS_in_dollar","Potential INEXUS","potInex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.049744558605774,13.409608769042475,-3.730156780622858
"Realized_INEXUS_in_dollar","Realized INEXUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.049744558605774,13.409608769042475,-3.730156780622858
"Social_INEXUS","Social INEXUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9993.356712959476,6.067752510887501,-8.516441920568516
